Testbed,Hazard,Model_Type,Model_Name,(Intercept),IAGMIN,IUTIL,ICONS,IMANU,IWHOLE,IRETAIL,ITRANS,IPROFSER,IREALE,IEDU,IHEALTH,IART,IACCO,HS1I,HS2I,HS3I
Galveston,hurricane,main_model,totDY,2.65281512787966,0.182480308987898,-0.0103637901135179,0.0248448702840572,-0.148271197299297,-0.0980263097609756,-0.0071242821640419,0.0399138472462684,-0.0057029562489637,0.0703580386411182,0.233820357842105,0.0500788696138656,0.0291467812841344,0.034396617337212,-0.194155380240293,-0.0810883150473442,-0.103094976573059
Galveston,hurricane,sector_model,DY _ HH1WI,-0.0968019516948604,0.0,0.0,0.0,0.0,0.0,-1.86868852566145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.1747491596999e-06,-1.14512424781562e-05,-3.17291541930996e-05
Galveston,hurricane,sector_model,DY _ HH2WI,-0.206491131117852,0.0,0.0,9.40536669847065e-06,-0.0001467671048723,0.0,-0.0006495974296002,0.0,-5.79781774902064e-05,0.0,0.0,0.0,0.0,-6.4446081563008e-05,-0.0020637956699617,-0.0007562946332767,-0.0010485448396611
Galveston,hurricane,sector_model,DY _ HH3WI,0.0357379644778197,0.0,-0.0009262419593225,0.0005248312004096,-0.0013384554532223,-0.0023302351249177,-0.0042976167522559,0.0,-0.0007973950833262,-0.000822271679516,-0.0004255333504764,-0.0005023294313479,0.0,-0.0003139759109068,-0.0110039285767249,-0.0038797009193777,-0.005308983971025
Galveston,hurricane,sector_model,DY _ HH4WI,0.532713060380225,0.0,0.0,0.0,-0.0025630559533699,0.0,-0.0135194106969381,0.0,-0.0019086034833964,-0.0007108913603934,0.0,0.0,0.0,0.0,-0.0565002365056173,-0.0196983356184964,-0.0272759141429311
Galveston,hurricane,sector_model,DY _ HH5WI,0.883054522882922,0.0,0.0,0.0,0.0,0.0,-0.0087547340627658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.106699753910373,-0.0363073702618595,-0.0508831689250884
Galveston,hurricane,sector_model,DY _ HH1BI,-0.0538073050578262,0.0,0.0,0.0,0.0,0.0,-1.43661583867065e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.47259705972995e-06,-6.46086456113538e-06
Galveston,hurricane,sector_model,DY _ HH2BI,-0.202755354313456,0.0,0.0,0.0,-9.37127053893002e-05,0.0,-0.0001665062868924,0.0,-1.93413535722078e-05,0.0,0.0,0.0,0.0,-0.0001237595773928,-0.0008864153334737,-0.0003479654296554,-0.0004851982204333
Galveston,hurricane,sector_model,DY _ HH3BI,-0.148315252568228,0.0,-0.0001283818421512,0.0,-0.0005174815184904,-0.0003680739228308,-0.0010887570282882,0.0,-0.0002920547682128,-9.79091657830867e-05,0.0001826538938617,-0.0001245059291935,0.0,-0.0003595474809576,-0.0035164061487359,-0.0012741988235818,-0.0017518370099349
Galveston,hurricane,sector_model,DY _ HH4BI,-0.359677120522131,0.0,0.0,0.0,-0.0004630604857769,0.0,-0.0013116066539092,0.0,-0.0002904591960553,0.0,0.0002395790278979,-0.000119570149155,0.0,0.0,-0.0060200740152761,-0.0020798312505827,-0.0028848347989689
Galveston,hurricane,sector_model,DY _ HH5BI,-0.031422620862051,0.0,-0.0005660519183861,0.0,-0.0021814379278462,-0.0016601706432716,-0.0005923613747759,0.0,-0.0001632565866573,0.0005136384136677,0.0,0.0,0.0,9.42085811316531e-05,-0.0146611192051814,-0.0049330672165366,-0.0068625511412675
Galveston,hurricane,sector_model,DY _ HH1HI,-0.0468550881159827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.06711327257849e-06,-4.34834924134492e-06
Galveston,hurricane,sector_model,DY _ HH2HI,-0.201248741109871,0.0,0.0,4.8307860308522e-05,-2.73448308888768e-05,0.0,-0.0004178301520938,0.0,-7.92917828453699e-06,0.0,0.0,0.0,0.0,-0.0005603615824662,-0.00113768763167,-0.0004292753242627,-0.0006017114526379
Galveston,hurricane,sector_model,DY _ HH3HI,-0.117565399602794,0.0,5.80640440421325e-06,0.001203068168543,-0.0008479000172048,-0.0012148376276322,-0.0022804225285758,0.0,-0.0004588231299801,-0.0010646146698173,0.0001473957601845,-7.23332156274441e-05,0.0,-0.0012780427192994,-0.0051240291876602,-0.0017949673789857,-0.0024878162554525
Galveston,hurricane,sector_model,DY _ HH4HI,0.118179679810848,0.0,-0.0007121304117884,0.0049688248484455,-0.0034690189850169,-0.0058738184220776,-0.0048391611032145,0.0,-0.0011761692916827,-0.0015894262630212,0.0026631521444957,-0.0006484127775033,0.0,-0.0009817306653314,-0.0178537328975795,-0.0059820337419055,-0.008338994211058
Galveston,hurricane,sector_model,DY _ HH5HI,-0.114834552073954,0.0,0.0,0.0009286548455218,-0.0004051195175898,-0.0002592329150241,-0.0006204127231018,0.0,-4.31697226701076e-05,-0.0001460066976084,8.09829555736396e-05,0.0,0.0,0.0,-0.0062922900070974,-0.0021211689888649,-0.0029765977435488
