"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","OtherA","OtherB","OtherC","OtherD","OtherE","OtherF","OtherG","OtherH","GoodsA","GoodsB","GoodsC","GoodsD","GoodsE","GoodsF","GoodsG","GoodsH","TradeA","TradeB","TradeC","TradeD","TradeE","TradeF","TradeG","TradeH","HS1A","HS1B","HS1C","HS1D","HS1E","HS1F","HS1G","HS1H","HS2A","HS2B","HS2C","HS2D","HS2E","HS2F","HS2G","HS2H","HS3A","HS3B","HS3C","HS3D","HS3E","HS3F","HS3G","HS3H"
"MMSA-shelby","earthquake","main_model","totDDS","1150.24225900833","-0.469397564672838","-0.251317635838262","-0.122525187408732","-0.485734426015534","-0.197068836067106","-0.41078872501748","-0.258231671813465","-0.351576254321406","-0.380682784658395","-0.234892974749486","-0.337456574232423","-0.170844588341475","-0.447035501420043","-0.248428787678782","-0.223721731365017","-0.208252411886617","-0.367872800253843","-0.237112537436605","-0.0598242947329094","-0.232657683175362","-0.370023730373975","-0.407430912775818","-0.249043446622789","-0.193513688640016","-0.0339417991324175","-0.0146261402771313","-0.0538254981388304","0.0887551607465906","-0.0341651948027368","-0.254318649140827","-0.0455780922997016","-0.0801043647912653","-0.603024352383374","-0.309105370055379","-0.313042382630906","-0.377632272592189","-0.338769805604395","-0.373107010382585","-0.252290467869905","-0.497582280526315","0.00926159655693948","-0.0162151967486561","-0.0523481773510383","-0.15423520377425","-0.151049560100798","-0.530661283573971","-0.0309622335952239","-0.0550131448072407"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ GoodsA","89.1837621992033","-0.0181362066250411","0.00470781202920808","0.000224851570466949","0","0.000732870657989694","-0.00556247654935972","0.00165642123709563","-0.0038375720782465","-0.186026526967361","-7.47734537776245e-05","-0.00786533538701561","0","-0.0144814125846879","-0.0179779704222491","-0.00977953050352346","0","-0.00885906445082392","0.00133778059137869","0.00896197540128942","0","-0.00678949989242287","-0.000493297366772851","0.000411517564899378","5.83969561009881e-05","0","0","-0.000952159585824025","0.0124399566535823","-0.00533220467483429","0","0.00999218359884625","-0.00278528948982239","-0.0194358745074369","-0.0080240457714306","-0.000825190843617311","-0.00964693866492782","-0.00764847415561888","-0.00638260240034363","-0.00726042105441877","-0.0370586001568994","0.000921774433731877","-0.00243966242659033","0","-0.00343807053022305","0.00528723793926974","-0.0136704958585594","0.00289639878977816","-0.0120936242533497"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ TradeA","149.009334496791","-0.0172678236861384","0.00270268427085253","0.000575434947837812","0","0.00185320151617263","0","0.00179893261552976","0","-0.0117205129937646","0","0","0.00172682123589703","0","0","0","0","-0.20879320245201","0.00102161616997138","0.00392654825038105","0","0","-0.000167981202835753","6.34820878962699e-05","0.00132937259646736","-0.0075085676375366","0.000196883665048105","0","0.00103923940136486","0","0","0.00121068391842438","-0.000568853556084796","-0.0292087201129921","-0.00537198023764248","-0.00263626359272462","-0.00659186882813554","-0.00385293683805047","-0.00230072801868621","-0.000870349609960696","-0.00530823037545697","-0.00504355681721805","0.000779554605822525","0","0","0","0","0","0"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ OtherA","381.162249556236","-0.327458454059147","-0.0139668683851753","0.00763731775799027","-0.056687246444072","-0.00959734998171385","-0.046271838823245","-0.0200075841379214","-0.0480736250289253","-0.113617759373791","-0.0105905449009958","-0.00975309765069934","0.00976741992292251","-0.0466632570069243","-0.0233816260768089","-0.0291994332168307","-0.0104287924943417","-0.117693117335722","-0.00699501379536526","0.0359819019775168","-0.0171359833546577","-0.0390477690709247","-0.0478548336675836","-0.0055377419042389","-0.00300079024893336","-0.0268486567991089","0.00994866794548583","-0.00192721391505633","0.0477426356806669","0","-0.0271591282474655","0.0171711550444253","-0.0118849394402434","-0.213361051628363","-0.0699980710784509","-0.0665573692004015","-0.0887971734363661","-0.0603440615618494","-0.0510479497339574","-0.036046776878911","-0.130266656302465","-0.00445014199586007","0.0177501919087797","0","-0.0147475059035315","-0.0140238596505514","-0.068595194454826","0.0138979748986614","0"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ GoodsB","6.36516690867687","-0.000207482443155184","-0.0140604340490566","0.00207706067060293","0","0.000160529861240231","0","0.000415725059165775","0","-0.00216633782292608","-0.162384632058125","-0.00264508964247052","5.08527931869019e-05","-0.00597769000510179","-0.000227821898263381","-0.00338046682071722","-0.00113933940823665","-0.000625862218545225","-0.00594534754599173","0.00224487008725322","5.84311867345281e-05","-0.0014669821213535","-0.000799739556375102","-0.000438569211644891","9.70037924705173e-05","0","0.0014099001444249","-0.000350939175983258","0.00266682128403337","0.00110087845654859","0","0","0","-0.00614151515714945","-0.00118878572598728","-0.00149649897630631","-0.00294458567697027","-0.00293294895206896","-0.00277631803866363","-0.00135245617718336","-0.00410882117811016","0","0.00236643322621765","0.00105156688643164","-0.00136521926335751","-0.00201667512701324","-0.00604934607646425","0.000194822836843395","0.0013491507876635"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ TradeB","53.3521909124663","0.000453322352656355","-0.0375064304925813","0.00182537612190109","0","0.000599681356559291","0","0.00150851313944616","0","0","-0.0113960177195151","0","0","0","0","0","0","6.05372165780903e-05","-0.20888031746588","0.00308202733259014","0.000954779382939897","-0.00179917272154456","0","0","0.00134340876347178","-0.000993983248820298","-0.00715866368366087","0.00011040606760581","0.00101478797301083","0","-0.00125322811410164","0.00145461428623555","0.000806200955520327","-0.0035570998387973","-0.0112280066302227","-0.00242103095754632","-0.0026617995569013","-0.00317582561957742","-0.00213634847083667","-0.00189785875835046","0","0","-0.0116623060328564","0.000375669998637537","0","-0.000385653629650183","0","0","0"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ OtherB","75.0606312114059","-0.0162495147735999","-0.229236346248735","0.00228254298485353","-0.0269201096196728","-0.00472471147121462","-0.00494672404800608","-0.00621394502761403","-0.00597152480659491","-0.00744013440870478","-0.0289513985277457","-0.0254565559997319","0.00223132299948519","-0.0112153688004908","-0.00816310463547984","-0.0110773259019313","-0.00197374013718626","-0.00794130337055021","-0.0587919361465233","0.00810866353236952","-0.00086367772929011","-0.0125840333483887","-0.00657992134979756","-0.00756071070660244","0","-8.94112940742364e-05","-0.00701988064227217","0.000241177720355557","0.0109876940920004","0.000756421600852127","-0.0199694848764108","0.00192216576542558","0.00158592680670897","-0.0326240110399839","-0.033233141104387","-0.0127816564704613","-0.016179188666534","-0.01484274667018","-0.0132040772926849","-0.0114550979393547","0.0015137531590561","0.000194831648411353","-0.0156080923844135","0.00124418614395912","-0.00509293386869323","-0.00230843396906491","-0.0151454849158176","0.00122776831170438","0.00247216760031042"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ GoodsC","10.477638982422","-0.000293108598831273","0.00116190796859425","-0.016948957469843","-0.00216762074017564","-9.00431194903534e-05","-0.000193135035029722","0.000551367954321655","-1.72621469458076e-08","-0.00236808210408099","-0.00131702009388077","-0.215379637572487","-0.0027854013538677","-0.00351403629505482","-2.92421856025634e-06","-0.000911942264925354","-0.00145189697195123","-0.000556656332975905","0.000320788268444611","-0.0135076800375605","-0.00221052146370368","-0.00240668591175975","-0.00109182628309728","0","-0.000116321701381252","0.000566496373166503","8.57951806324922e-06","0.00199688526356413","-0.00183682912656808","-0.00194771503971997","0","0.000551577345472693","0.000514895686985976","-0.00296693789245284","-0.00203363000911735","0.000687178198405504","-0.00618896571737597","-0.00365293458922993","-0.00168288389008833","-0.00129082617996629","-0.00221962147663084","0.00107787169731202","9.75714713205697e-05","0.00297665074103394","-0.0042884219224805","-0.00142128845207169","-0.00138951173865951","0","0.000795494538654544"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ TradeC","37.5264040580748","0","0.00165645436381415","-0.0373951949707992","-0.00145890985166902","0","0","0.00106123099061054","0","0","0.000267995428275673","-0.0245054474381838","-0.000201075961845612","0","0","0","0","0.000338760090868476","0.00102921357488184","-0.193529622657304","-0.00284435316600234","-0.00213416124324552","0.000213968874628279","4.49769651651479e-05","0.00115129996198271","0.000641761523379287","0","-0.0076220565910173","-0.00199340724753343","-0.00249712421438224","0","0.00106249237298759","0.00132876828071283","-0.000827682185620946","-0.00211363663456706","-0.00987159187895565","-0.00842219195718762","-0.00430418021368088","-0.000269581981517908","-0.000647197963514052","0","0.00100324345120423","0.000300405210924937","-0.00933231547614352","-0.00659019324862525","-0.00270325527148517","0","0","0.000701461826288266"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ OtherC","26.8506287154559","-0.00823326349315356","-0.00291185744593424","-0.189011080603942","-0.0119994794068798","-0.00319133017296768","-0.00469490166283643","-0.00335687725462629","-0.00574246458244839","-0.00325518619994054","-0.000954336116643492","-0.0365995868291599","0","-0.00347967250738399","-1.80318075363787e-06","-0.00237974019116131","-0.000699328206263567","-0.0033023070608906","-0.000850551523351334","-0.0486062532344532","-0.00590190778636905","-0.00698360405748566","-0.00381514329356209","-0.00123273097230398","0.000505768078408875","0.000643718303683965","-0.000194552444986259","-0.0117311807667062","-0.00385261959860156","-0.00385633497464637","-0.00138382402625487","0.00155320027536233","0.00107711456978523","-0.00795744019901907","-0.00592957462935668","-0.0266292242290998","-0.0146580145494253","-0.00877875617837426","-0.00372779767488551","-0.00335135157273578","-0.00410541124915356","0.00186192454549328","0.000289874665536963","-0.0144823049347106","-0.0112765543353412","-0.00592614055089829","-0.00377775086548257","0.000763202330610278","0.00145668514048292"
