Testbed,Hazard,Model_Type,Model_Name,(Intercept),AG_MIN,UTIL_CONS,MANU,WHOLE,RETAIL,TRANS,INFO,FINANCE,REALE,PROF_MAN,ADMIN_EDU,HEALTH,ART,ACCO,OTHER,HS1,HS2,HS3,HS4
Joplin,tornado,main_model,totDY,0.124825137661702,-0.00509364004059326,-0.0209364860569166,-0.0022882075232802,-0.00306923715315913,-0.0040345907753373,-0.00320613783860749,-0.0131502469789892,-0.0149575049915374,-0.0328918434800911,-0.00335801798908891,-0.00575708573950471,-0.0140322404214823,-0.0163668928001877,-0.0158157895899799,-0.0051850534622301,-0.0161396599444478,-0.0297539967082984,-0.0340276636915597,-0.0155504162492472
Joplin,tornado,sector_model,DY _ HH1,0.00481493110648539,0,-5.86908067785392e-05,0,-2.98835321966497e-05,-3.73671454125068e-05,0,0,-4.31957160272725e-06,0,0,-9.03435381199714e-05,-9.37048070418876e-06,0,-0.000736149457175872,-0.000130639677241051,9.94744086523699e-05,0.000281547918675994,0.000327017662279561,0.000109700177929569
Joplin,tornado,sector_model,DY _ HH2,-0.397513621918734,0,-0.000922676376606953,-9.92152555773374e-06,-0.000107755218342074,-0.000102963371774616,0,-0.000474853460147869,-0.0013471091447939,-0.0021769604079444,9.3966571123008e-07,-0.000434583157673102,-0.000684471293008375,-0.000339060352570601,-0.00222240285629289,-0.000568272314942806,-0.00096815438419275,-0.00185973950155696,-0.00210248403920313,-0.000955948325538585
Joplin,tornado,sector_model,DY _ HH3,-0.184162243310347,-0.000561971543404354,-0.0056119947752759,-0.000548787032776396,-0.00087453552766953,-0.0011512238599684,-0.000366615693256689,-0.00444472826239642,-0.00614278728024729,-0.0102711369092176,-0.000549996336378029,-0.00146785023942303,-0.0033264595501047,-0.00589234556415224,-0.00636924332004257,-0.0021095882296872,-0.0059733389783471,-0.0113392246447651,-0.0129922626136853,-0.00575447166611534
Joplin,tornado,sector_model,DY _ HH4,-0.306609445010095,-0.00100275581179292,-0.00739577169891101,-0.000878152694268771,-0.00045212623537048,-0.00124302465724281,-0.00120848499521124,-0.00505815616539971,-0.00530274343368375,-0.0106113451464901,-0.000327979328574624,-0.00131648241373987,-0.00459257749549813,-0.00721407776174832,-0.00369050090348473,-0.00149509387440322,-0.00628672622511237,-0.011794581367015,-0.0134968253265263,-0.0060597789928
Joplin,tornado,sector_model,DY _ HH5,-0.391288485120291,0,-0.0057530624219722,-0.000639727843886986,-0.0011724767041385,-0.00118938241419354,-0.00126985711936928,-0.0020738714969311,-0.00117532888660145,-0.00805393640874582,-0.00162246304104736,-0.00177272996196342,-0.00455275246691362,-0.00120662604483012,-0.00116659982577113,-0.000359707748085729,-0.0024615515790302,-0.0042175491642519,-0.00474916669901226,-0.00240644733698833
