Testbed,Hazard,Model_Type,Model_Name,(Intercept),AG_MIN,UTIL_CONS,MANU,WHOLE,RETAIL,TRANS,INFO,FINANCE,REALE,PROF_MAN,ADMIN_EDU,HEALTH,ART,ACCO,OTHER,HS1,HS2,HS3,HS4
Joplin,tornado,main_model,totMIGT,-7.43761792177952,0,-0.0535864279813156,-0.0382862511345947,-0.115413653883147,-0.090657287750401,-0.0235836293421168,-0.0400209977256526,-0.0580525271903606,-0.0846321583719081,-0.0318781081065166,-0.0343636887039993,-0.0485879323929006,-0.0246875733849766,-0.0988209945273562,-0.0259990764587115,-0.169560554454447,-0.360405133011997,-0.418623965381059,-0.163893797043823
Joplin,tornado,sector_model,MIGT _ HH1,-0.00129697059237093,-0.000152230632331573,-0.00183977296609092,-0.00332692550290361,-0.0117449799288099,-0.00820800218751148,-0.00217003343462439,-0.00263686771462866,-0.00251309586910878,-0.00335342682469188,-0.00552942997168458,-0.00241312443569838,-0.00207587535519092,-0.00111186244587238,-0.00496628443555537,-0.00139563481915435,0.00129075999890114,0.00272398848164409,0.00317650181078921,0.00121388509505295
Joplin,tornado,sector_model,MIGT _ HH2,0.474395841883236,0,-0.00422995128432636,-0.00389040795504293,-0.0128845190465503,-0.00929813377856169,-0.00188908703971822,-0.0036536993018167,-0.0052414639947249,-0.00684085044207487,-0.00149263745320395,-0.00277829368063515,-0.0044989204833309,-0.00194782201467062,-0.0089637668723427,-0.00233708834543916,-0.0217215828251211,-0.0458619080207323,-0.0532687956215584,-0.0208709074149202
Joplin,tornado,sector_model,MIGT _ HH3,0.914260916071527,-0.0122574554636371,-0.0208491595007168,-0.0149869550821198,-0.0449217611614875,-0.0334655145123144,-0.0099571518058617,-0.020107423668607,-0.0240334329145633,-0.0339830459685363,-0.0128046773162646,-0.0115122261939685,-0.0175575590994101,-0.0186206679712412,-0.0369299251371289,-0.0107875691673015,-0.0762386368367551,-0.159527165645504,-0.185186589110602,-0.0727182283015455
Joplin,tornado,sector_model,MIGT _ HH4,-6.63999099349219,0,-0.0198758495593946,-0.0122110738194483,-0.0324703566539368,-0.0271926639659224,-0.00769842008059494,-0.013112345341577,-0.0224921325373,-0.0305601041752135,-0.00529870772079138,-0.0117876234313092,-0.0178883167909815,-0.00988547247598386,-0.0368262473614559,-0.00958253629103032,-0.057403830441324,-0.122714807338926,-0.142557628483471,-0.0555647759227186
Joplin,tornado,sector_model,MIGT _ HH5,-0.598015958948274,0,-0.00901480550256045,-0.00484908657060106,-0.0140064497178028,-0.012374451090111,-0.00577865769621672,-0.0055128044977177,-0.00685020066391125,-0.0152072941833198,-0.0111222255026791,-0.00775829434873492,-0.0082811442794372,-0.0061694747458833,-0.0135618484123952,-0.00375407682636787,-0.0161645891052591,-0.0339222239077213,-0.0393843426359082,-0.015503529813254
