Testbed,Hazard,Model_Type,Model_Name,(Intercept),AG_MIN,UTIL_CONS,MANU,WHOLE,RETAIL,TRANS,INFO,FINANCE,REALE,PROF_MAN,ADMIN_EDU,HEALTH,ART,ACCO,OTHER,HS1,HS2,HS3,HS4
Joplin,tornado,main_model,totDFFD,12.9959656314854,0,-0.476074145861619,-0.170877921998959,-0.353664791139807,-0.318137949421544,-0.15058194099686,-0.351205923256733,-0.55178965467295,-0.765424986854397,-0.210461083668639,-0.331902153041619,-0.39897119265928,-0.429503374655335,-1.1477094321925,-0.310611376852082,-0.515048572681795,-1.1148030802775,-1.30026558605694,-0.49509657297731
Joplin,tornado,sector_model,DFFD _ AG_MIN_L1,-0.0368023007936298,-0.00123419804726362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joplin,tornado,sector_model,DFFD _ AG_MIN_L2,-0.0381918158672967,-0.00123257648498208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joplin,tornado,sector_model,DFFD _ AG_MIN_L3,-0.149566371193307,-0.056703221361118,0,-5.14741987517865e-06,5.32259423177818e-06,-3.04285807340677e-05,0,0,0,0,0,0,0,0,0,1.31667441423162e-05,-1.72473058000533e-05,-0.00012538787449168,-0.000137585490338822,-5.74575088432521e-05
Joplin,tornado,sector_model,DFFD _ AG_MIN_L4,-0.0408026332094079,-0.00121945578667394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joplin,tornado,sector_model,DFFD _ UTIL_CONS_L1,-0.472592732123188,0,-0.179600286804268,-0.000324613524865951,-0.0028403371625033,-0.00161385424280548,0.000127340359899901,0.000800523570630262,0.00110081070013324,0.00122948875681087,-0.00027568896476383,0.00224500345617029,0.00144004188769565,0.00092938846025421,0.0118053605828006,0.0024144570829259,-0.00500944517907932,-0.0188734201685925,-0.0231507891495461,-0.00436948678412891
Joplin,tornado,sector_model,DFFD _ UTIL_CONS_L2,-0.891343746431957,0,-0.387312541529453,-0.000685413073276038,-0.00613121877271708,-0.00360900176847234,0,0.00471986249751296,0.00766352824964367,0.0160097918657264,-0.000769083126143576,0.0033279288252608,0.00566343353763827,0.00485732555006767,0.00811320024741303,0.00262936646022995,-0.0112208535032333,-0.0414902048834048,-0.0508661417628748,-0.00981084183250924
Joplin,tornado,sector_model,DFFD _ UTIL_CONS_L3,-0.772302024738038,0,-0.27027033960619,-0.000270399930478786,-0.00518836057928919,-0.00262792875194059,0.000774425674741133,0.00375243912343084,0.00171753957097363,0.00503330593107114,0,0.000866981171234625,0.00274484908849669,0.00597947449971315,0.00048603242439018,0.000590472178117339,-0.00780415764746722,-0.0288989968198691,-0.035417869749477,-0.0068306810943997
Joplin,tornado,sector_model,DFFD _ UTIL_CONS_L4,-0.406163070906826,0,-0.0587416611018573,-7.41960817062767e-07,-0.000769225257346547,-0.000530629782018909,0,0.000201063143710083,0,0.00105275627865249,0,0.000117983077384483,0.000858436498307743,0,0,0,-0.00162523359161216,-0.00618398125632976,-0.00755618713401049,-0.00142792393943133
Joplin,tornado,sector_model,DFFD _ MANU_L1,0.803198692971424,-0.00482285762602765,0.00944674752577081,-0.0203843424787211,-0.0113945389519875,-0.00565806337962214,0.00213083282578866,0.00143904971241011,0.00395410768075243,-0.00195811166706108,-0.00299454266078085,0.0121213008700958,0.00577051367966414,0.0040500992773856,0.0571751177885108,0.0126884240873343,-0.00818413910094096,-0.0181926261167456,-0.0213937564647629,-0.00776681910579743
