To,From,Total_trip
65,52,1334.786015
66,52,1124.952748
32,33,324.691708
41,33,886.173149
35,33,281.724028
42,33,504.6332
30,33,247.821688
24,33,55.144392
34,33,623.481831
36,33,130.624134
61,33,94.08121
60,33,37.6488
68,67,965.445431
32,67,309.181109
63,67,174.168116
50,67,54.301045
60,67,194.371307
67,34,811.74179
33,34,599.558811
43,34,361.000112
41,34,1879.732385
35,34,884.37809
42,34,1223.925526
18,71,22.800642
64,66,218.608348
29,34,123.559548
31,34,559.646519
69,52,43.12393
64,52,288.777564
63,52,127.723062
61,52,46.329612
24,43,46.791806
68,43,33.181399
30,43,96.370845
32,43,131.484953
34,43,361.629167
36,43,20.151849
64,43,23.382812
49,43,20.648827
60,43,28.456422
30,34,141.98074
18,33,20.228187
16,33,87.424158
66,33,22.311214
65,33,154.283903
87,33,24.238721
63,66,48.068858
20,67,28.187498
23,67,44.134335
76,67,20.80541
27,67,25.363335
16,67,72.790535
70,67,53.565974
24,67,24.8131
36,67,52.355064
35,67,125.765148
49,67,32.568479
24,34,20.381287
32,34,66.584175
65,34,104.610343
61,34,51.14309
35,43,29.991371
18,52,154.377286
36,34,20.74948
72,65,221.095318
69,65,254.144699
70,65,76.31668
71,65,867.415738
67,65,2575.954478
52,65,1390.094892
64,65,560.907227
63,65,139.640177
61,65,419.30231
73,52,48.72592
72,52,272.773442
71,52,242.77433
41,65,2185.80349
30,36,115.933915
31,36,85.688415
33,36,136.86737
43,36,20.165501
67,36,50.337504
41,36,68.642406
72,43,23.919906
18,65,401.922358
30,37,31.66894
31,41,597.697901
67,41,1837.735005
43,41,627.52353
65,41,2161.87076
42,41,196.482217
43,65,494.576726
66,65,797.481997
42,65,448.166918
42,36,40.868729
43,52,97.486138
29,35,370.005061
30,35,102.066998
31,35,309.391263
33,35,311.15809
67,35,110.334506
41,35,315.135483
65,35,166.618383
42,35,232.614999
87,35,216.186548
61,41,270.735799
29,41,285.861251
33,41,939.902007
87,41,83.432351
34,41,1908.183319
35,41,306.617341
34,65,104.357105
35,65,183.241963
80,35,110.654893
86,35,90.901826
61,35,62.707622
29,36,29.001754
65,36,21.646569
87,36,21.057891
31,65,122.705167
30,41,24.141731
49,41,22.223598
80,41,27.002754
86,41,27.445992
29,65,21.790124
33,65,147.990165
36,65,21.621988
60,65,37.054365
68,65,47.367229
72,64,22.503465
71,64,156.795854
67,64,424.137942
66,64,238.649685
52,64,281.579562
43,64,23.368093
65,64,514.499777
72,41,66.110587
36,41,69.059398
27,35,27.238463
24,35,20.371421
34,35,963.512996
43,35,33.214101
83,35,28.804583
49,35,50.569022
81,35,30.741012
34,36,20.347284
31,42,190.096868
29,42,58.274907
34,42,1280.703646
33,42,531.076116
67,42,587.998255
43,42,176.032109
41,42,201.276554
65,42,442.376665
83,42,73.799762
49,42,34.579467
80,42,94.047331
86,42,45.862788
61,42,282.980069
87,42,148.996023
81,42,20.706269
67,63,164.802278
52,63,113.915068
65,63,169.039995
18,41,20.355294
18,42,40.59851
72,42,50.647536
35,42,179.934436
42,64,50.14164
49,65,20.796801
36,42,40.976663
64,42,48.293334
63,42,27.653747
35,83,24.891064
42,83,67.697876
18,61,182.933981
67,61,862.224543
43,61,217.880515
66,61,188.796456
42,61,259.169971
43,49,20.771352
67,49,31.871831
41,49,20.440454
35,49,46.326254
42,49,32.203434
65,49,21.556354
61,49,54.258048
35,80,99.169589
41,80,23.278435
42,80,67.873314
83,80,84.619809
81,80,22.850489
35,86,81.976076
41,86,24.366731
42,86,41.07078
71,63,50.107915
66,63,53.071128
42,63,30.722706
9,61,23.273176
74,61,20.457659
73,61,26.705173
72,61,85.403023
69,61,70.653349
70,61,24.520116
68,61,24.805667
71,61,150.114812
31,61,24.334745
33,61,96.965669
52,61,44.828136
34,61,51.07258
65,61,394.070457
41,61,265.678947
35,61,59.203228
49,61,52.521062
87,61,20.122372
33,87,24.410614
35,87,198.876116
41,87,78.600393
36,87,20.610472
42,87,141.806348
61,87,20.551976
83,87,23.754242
81,87,20.276439
80,83,82.039015
87,83,23.042349
80,81,22.208411
18,50,31.390133
67,50,54.088873
81,82,84.313258
67,60,174.345256
65,60,60.417149
72,60,22.483035
33,60,40.908051
43,60,28.594924
35,81,26.00213
82,81,82.985008
