Epicenter Distance,Restricted Entry,Restricted Use,Reoccupancy,Best Line Functionality,Full Functionality
29.8,0.318,0.49,0.101,0.0649,0.0258
29.6,0.607,0.307,0.0465,0.0289,0.0108
64.7,0.17,0.337,0.164,0.186,0.143
49.5,0.137,0.379,0.169,0.174,0.141
39.4,0.261,0.445,0.135,0.107,0.052
65.2,0.17,0.345,0.165,0.179,0.141
52.4,0.212,0.398,0.154,0.145,0.0907
43.5,0.256,0.436,0.137,0.11,0.0602
52.9,0.209,0.387,0.156,0.148,0.0997
38,0.331,0.458,0.105,0.0729,0.0336
34.3,0.299,0.473,0.114,0.0782,0.0365
30.7,0.318,0.492,0.101,0.0635,0.0266
43.3,0.246,0.426,0.143,0.12,0.0645
31.9,0.304,0.483,0.109,0.0726,0.031
50.4,0.221,0.411,0.152,0.135,0.0809
47.9,0.24,0.414,0.142,0.125,0.0793
34.6,0.287,0.473,0.119,0.0824,0.0379
36.4,0.278,0.468,0.128,0.0866,0.0397
39.3,0.263,0.455,0.135,0.0995,0.0472
47.1,0.246,0.408,0.139,0.126,0.0808
63.4,0.168,0.346,0.164,0.179,0.144
37.3,0.268,0.46,0.131,0.0973,0.0436
34.9,0.273,0.465,0.128,0.0929,0.0414
64.2,0.159,0.351,0.171,0.181,0.137
38.2,0.278,0.462,0.126,0.0917,0.0419
35.6,0.288,0.468,0.123,0.0851,0.0357
47,0.157,0.404,0.162,0.156,0.122
31.9,0.307,0.486,0.111,0.0708,0.0255
49.5,0.225,0.415,0.151,0.133,0.0753
49.5,0.227,0.408,0.15,0.133,0.0818
53,0.194,0.383,0.157,0.156,0.111
50.5,0.218,0.396,0.153,0.145,0.0876
50.3,0.214,0.395,0.158,0.148,0.085
36,0.29,0.465,0.124,0.0859,0.0349
37.6,0.281,0.464,0.127,0.0885,0.04
38.9,0.266,0.449,0.134,0.0996,0.051
44.2,0.252,0.425,0.139,0.119,0.0657
35.5,0.618,0.275,0.0507,0.0362,0.0209
28.1,0.628,0.296,0.0425,0.0265,0.00747
42,0.269,0.438,0.13,0.106,0.0572
37.1,0.546,0.302,0.0631,0.0558,0.033
36.3,0.559,0.299,0.0613,0.0534,0.0272
38.4,0.265,0.465,0.133,0.0944,0.043
48.1,0.233,0.417,0.145,0.13,0.0752
43.1,0.251,0.434,0.139,0.115,0.0594
39.1,0.271,0.45,0.13,0.102,0.0477
43.6,0.252,0.426,0.142,0.118,0.0619
56.6,0.193,0.376,0.161,0.155,0.114
53.5,0.202,0.372,0.153,0.16,0.112
40.2,0.27,0.445,0.132,0.103,0.0495
54.5,0.197,0.375,0.158,0.158,0.112
52.9,0.207,0.382,0.155,0.152,0.104
64.3,0.171,0.335,0.157,0.179,0.158
55.2,0.191,0.368,0.161,0.165,0.114
59.6,0.187,0.366,0.157,0.16,0.129
38.3,0.106,0.438,0.236,0.15,0.0705
52.3,0.215,0.392,0.156,0.147,0.0906
44.6,0.246,0.426,0.143,0.119,0.0664
36.9,0.278,0.457,0.129,0.0958,0.0397
55.4,0.201,0.377,0.157,0.153,0.111
34.4,0.299,0.467,0.117,0.0812,0.0353
51.7,0.208,0.395,0.153,0.145,0.0999
42.9,0.253,0.441,0.137,0.108,0.0613
40.9,0.266,0.443,0.13,0.103,0.059
49.2,0.138,0.402,0.178,0.167,0.115
34.6,0.293,0.474,0.121,0.0794,0.0332
39.4,0.273,0.451,0.128,0.0957,0.0518
35.9,0.405,0.408,0.0877,0.0699,0.0288
30.6,0.308,0.495,0.106,0.0659,0.0248
50.8,0.207,0.39,0.154,0.151,0.0981
36.9,0.28,0.468,0.124,0.088,0.0402
42.9,0.257,0.44,0.14,0.108,0.0538
33.2,0.309,0.487,0.109,0.0684,0.027
32.6,0.302,0.487,0.111,0.0712,0.0288
50.8,0.215,0.399,0.153,0.145,0.0874
35.4,0.288,0.477,0.119,0.0787,0.0366
38.5,0.283,0.447,0.125,0.0965,0.0483
43.9,0.238,0.425,0.146,0.124,0.0665
30,0.326,0.507,0.0986,0.0519,0.0169
32.2,0.316,0.489,0.104,0.0654,0.0258
27.1,0.328,0.504,0.0948,0.0545,0.0184
39.8,0.268,0.448,0.133,0.103,0.0493
40.1,0.541,0.3,0.073,0.0535,0.0325
37.9,0.498,0.319,0.0718,0.0673,0.0442
28.4,0.659,0.265,0.04,0.0267,0.00931
43.6,0.245,0.432,0.14,0.115,0.068
49.9,0.221,0.411,0.152,0.136,0.0811
38.6,0.272,0.448,0.126,0.0995,0.0544
25.3,0.334,0.513,0.0895,0.0478,0.0153
33.5,0.308,0.476,0.112,0.0737,0.0307
39.2,0.276,0.459,0.13,0.0931,0.0419
61.5,0.168,0.353,0.167,0.176,0.135
42,0.259,0.441,0.137,0.107,0.0564
41.6,0.251,0.444,0.138,0.107,0.06
32.1,0.309,0.479,0.112,0.0728,0.0259
37.8,0.281,0.466,0.121,0.0884,0.0433
29.7,0.313,0.485,0.106,0.0691,0.0273
64.5,0.156,0.336,0.165,0.186,0.157
56.1,0.191,0.387,0.161,0.157,0.104
34.9,0.292,0.465,0.117,0.0835,0.0415
49.1,0.225,0.401,0.15,0.14,0.0837
41.2,0.268,0.455,0.126,0.097,0.0541
31.1,0.319,0.488,0.1,0.0641,0.028
38.7,0.542,0.3,0.0673,0.0596,0.0316
34.5,0.289,0.478,0.115,0.0795,0.038
40.9,0.32,0.446,0.113,0.0845,0.0356
39.3,0.269,0.45,0.135,0.1,0.0452
48.2,0.225,0.407,0.15,0.135,0.0826
45,0.249,0.43,0.139,0.117,0.0658
36,0.288,0.458,0.121,0.0909,0.0412
40.3,0.275,0.453,0.129,0.0978,0.0454
35.8,0.276,0.469,0.128,0.0895,0.038
40.9,0.256,0.434,0.137,0.113,0.0603
35.5,0.278,0.47,0.123,0.0889,0.0398
33.4,0.296,0.478,0.117,0.0778,0.0307
40.4,0.272,0.45,0.13,0.098,0.0503
42.7,0.248,0.428,0.139,0.119,0.0671
53,0.205,0.392,0.16,0.149,0.0931
52.1,0.207,0.384,0.159,0.157,0.0931
34.5,0.312,0.476,0.11,0.0725,0.0298
32.2,0.299,0.484,0.114,0.0731,0.0296
39.3,0.269,0.446,0.131,0.1,0.0538
42.6,0.269,0.442,0.13,0.101,0.0582
45.9,0.238,0.422,0.144,0.124,0.0721
45.8,0.126,0.415,0.22,0.16,0.0792
54,0.194,0.379,0.159,0.161,0.107
35.4,0.288,0.467,0.123,0.0846,0.037
31.1,0.307,0.488,0.11,0.0686,0.0269
36.4,0.288,0.463,0.12,0.0856,0.0434
38,0.268,0.462,0.128,0.0977,0.0445
35.8,0.281,0.463,0.129,0.0915,0.0352
31.8,0.303,0.493,0.112,0.0668,0.0254
54.9,0.198,0.382,0.156,0.152,0.111
36.9,0.268,0.458,0.13,0.0969,0.0468
24.6,0.336,0.524,0.0854,0.0418,0.0127
28.4,0.32,0.505,0.0999,0.0553,0.0191
44.9,0.252,0.438,0.138,0.111,0.0602
51.7,0.215,0.388,0.152,0.15,0.0952
35.3,0.284,0.472,0.126,0.0852,0.0335
34.8,0.296,0.49,0.116,0.0723,0.0262
42.8,0.244,0.43,0.141,0.118,0.0677
