,sector,baseKAP
0,DRY_BULK,68.969232
1,LIQUID_BULK,379.673045
2,CONTAINER,104.01497
3,WAREHOUSE,329.637902
4,AGRI,11.6641
5,MINING,71.53602
6,UTIL,31.34343
7,CONST,602.8759
8,MANU,1942.54
9,WHOLE,1069.871
10,RETAIL,2107.703
11,TRANS,1094.644
12,INFO,260.2147
13,FINANCE,407.3137
14,REALE,461.5123
15,PROF,623.0549
16,MANAGE,5.016901
17,ADMIN,300.8597
18,EDU,1564.064
19,HEALTH,1228.571
20,ART,2009.566
21,ACCO,1108.459
22,OTHER,3256.325
23,HS1,6336.942
24,HS2,15054.08
25,HS3,7286.484
