"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","DRY_BULK","LIQUID_BULK","CONTAINER","WAREHOUSE","AGRI","MINING","UTIL","CONST","MANU","WHOLE","RETAIL","TRANS","INFO","FINANCE","REALE","PROF","MANAGE","ADMIN","EDU","HEALTH","ART","ACCO","OTHER","HS1","HS2","HS3"
"Mobile","hurricane","main_model","totDFFD","80.7461832509289","-3.3577847024782","-2.18607933460004","-2.39004363106998","-2.81215948215895","0","0","0","-0.395899394666011","-0.350255734660826","-0.443660952424966","-0.646997971280876","-0.282104603734671","-0.39346912557291","-0.213605333553102","-0.567813521761856","-0.343866722071157","0","-0.857965711185992","-0.425745726445941","-0.696847352225242","-0.1423928015516","-1.18547824210401","-0.264897832422702","-0.862920945119892","-0.67927079157624","-1.01982802047221"
"Mobile","hurricane","sector_model","DFFD _ DRY_BULK_L1WA","-0.0372671666627218","-0.308619002381062","0.00527886944813541","0.00558845591434262","0.00657335740533874","0","0","0","-7.78465548331833e-06","-5.15291171727827e-05","-6.55074576590785e-05","-7.9828918944516e-05","-6.97663134034181e-06","0","-3.27701199194715e-05","0","0","0","0","0","-7.25837507763753e-05","-8.07389434117952e-06","-9.65494449377812e-05","-1.52741690308851e-05","-0.000376785375549199","-0.00025649599859763","-0.000302041145578507"
"Mobile","hurricane","sector_model","DFFD _ DRY_BULK_L2WA","0.0653530381178129","-0.353413551676642","0.00189780766663927","0.00614842593272713","0.00718358237200423","0","0","0","0","-7.65047880582143e-06","-3.18251225857884e-05","-2.61964707340624e-05","0","0","-2.28317093659881e-05","3.10868848682318e-05","0","0","0","4.71361003327161e-06","0","-3.59621919506722e-07","0","0","-0.000379459595080414","-0.000261240567262239","-0.000326633242438399"
"Mobile","hurricane","sector_model","DFFD _ DRY_BULK_L3WA","0.162600921292842","-0.465741602631653","0.00545611673665631","0.0073360173413534","0.00855389709772857","0","0","0","0","-1.75395832217767e-05","-5.30172271295418e-05","-3.6698020047262e-05","0","0","-4.86457780624016e-05","7.8754741923302e-05","8.07728573946943e-07","-0.00135403789920235","0","1.71036329174218e-05","0","-8.61268039595045e-06","0","8.96468756097238e-07","-0.000481711295525304","-0.000342004575829993","-0.000469990752102815"
"Mobile","hurricane","sector_model","DFFD _ DRY_BULK_L4WA","-0.0533281231399524","-0.192140329600595","0.0021196428039107","0.00324362023540837","0.00390450041161624","0","0","0","0","0","-3.41423358526794e-06","-5.31197551886173e-06","0","0","0","0","0","0","0","0","0","0","0","0","-0.00019473015396527","-0.00014171041978502","-0.000202008610812877"
"Mobile","hurricane","sector_model","DFFD _ DRY_BULK_L2BA","-0.07327939839926","-0.163436824736527","0.000666799388760844","0.00294109968416958","0.00355486082029776","0","0","0","0","0","0","-1.66034915111312e-06","0","0","0","0","0","0","0","0","0","0","0","0","-0.000177225944195279","-0.000120778298808787","-0.000143511960414269"
"Mobile","hurricane","sector_model","DFFD _ DRY_BULK_L3BA","-0.0941790443820964","-0.0866517531513041","0.000536849747971317","0.000999600979258391","0.00138590304246263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-9.02017990735247e-05","-6.20001418431028e-05","-7.88199354151921e-05"
"Mobile","hurricane","sector_model","DFFD _ DRY_BULK_L1OA","-0.159582114450392","-0.0332539546156385","0.00103463694669673","0","8.3829008515336e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-4.39686248037407e-05","-3.00847313638401e-05","-4.11429177637745e-05"
"Mobile","hurricane","sector_model","DFFD _ DRY_BULK_L3OA","-0.0538515589055972","-0.000911852246040177","4.4270723756296e-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1.92076042393221e-07","0"
"Mobile","hurricane","sector_model","DFFD _ LIQUID_BULK_L1WA","0.00144444583929909","0.0222346948417654","-0.0534119595455716","0.00370492875201307","0.00441318902192503","0","0","0","-2.8322166601988e-06","-5.41956892955762e-05","0","-7.71437921554886e-05","-3.51651809278442e-05","0","0","0","0","0","-8.75513030807293e-05","-8.53066516178885e-08","-2.80291585213422e-05","-2.5762226915309e-05","-5.71255922255318e-05","-1.78086268433802e-05","-0.000253002678106677","-0.000182351174731833","-0.000203360620731134"
