Testbed,Hazard,Model_Type,Model_Name,(Intercept),IAGMIN,IUTIL,ICONS,IMANU,IWHOLE,IRETAIL,ITRANS,IPROFSER,IREALE,IEDU,IHEALTH,IART,IACCO,HS1I,HS2I,HS3I
Galveston,hurricane,main_model,totMIGT,7.11653921368256,0.0,-0.0086740788548648,0.0172390352053361,-0.067279527132899,-0.064794222170055,-0.0629353387106998,0.0,-0.0147597144385878,0.002839734539658,0.0928389334739891,0.0,0.0,0.0,-0.331651433876643,-0.115014971756706,-0.157863306185535
Galveston,hurricane,sector_model,MIGT_ HH1WI,-0.143422855246986,0.0,-0.0005976487977911,1.70229678763003e-05,-0.0006448381308575,-0.0005923836490429,-0.0019205393716802,0.0,-0.000376854103246,-0.0002089343122801,0.0,-0.0001998765188951,0.0,-0.0001114823652961,-0.0038697533422679,-0.000830005663768,-0.0018208006337449
Galveston,hurricane,sector_model,MIGT_ HH2WI,0.219815102701693,0.0,-0.0014269554822101,0.0002233865744759,-0.0015457933733717,-0.0018591319288676,-0.0038650587779758,0.0,-0.0008598407067695,-0.0005743937250453,0.0,-0.0009714555589558,0.0,-0.0002497985250245,-0.0121692873209838,-0.0039618038195746,-0.0056040251356421
Galveston,hurricane,sector_model,MIGT_ HH3WI,1.08599896926504,0.0,-0.0038699035126307,0.001026819490713,-0.004492371296906,-0.0075185844543538,-0.0119493063375294,-6.37393530221669e-05,-0.0027548049211434,-0.0025544379438361,-0.0004291075692786,-0.0023537265521996,-0.0011676511604385,-0.0008663435139431,-0.030868486772016,-0.0101857968857975,-0.0142549284445868
Galveston,hurricane,sector_model,MIGT_ HH4WI,2.62725610568884,0.0,-0.0023746291512065,0.0027289941218886,-0.0067651564764031,-0.0101222278341704,-0.0165065152136093,-9.88138098415286e-06,-0.0039138432906394,-0.0042397533300567,0.0,-0.0034425781239548,-0.003435900896677,-0.0013006049608747,-0.0674468106067058,-0.0226540181403546,-0.0314014567059588
Galveston,hurricane,sector_model,MIGT_ HH5WI,3.95861828099672,0.0,0.0,0.0005681127157359,-0.0050445073944141,-0.0006737058923296,-0.0103816269113981,0.0,-0.0018337128531097,-0.0005881179202444,0.0010498181192662,-0.000718194543582,-0.0003780813823281,0.0,-0.108198405881568,-0.0352995550146379,-0.0496194553228208
Galveston,hurricane,sector_model,MIGT_ HH1BI,-0.205305883736343,0.0,0.0,0.0,-8.80800975046114e-05,0.0,-0.0005099518762712,0.0,-4.67704629501825e-05,0.0,0.0,0.0,0.0,0.0,-0.0009365278654249,-0.0003377427072145,-0.0004869198169797
Galveston,hurricane,sector_model,MIGT_ HH2BI,-0.122933873638792,0.0,-0.0002649073783339,0.0,-0.0004943757838292,-0.000345988160094,-0.0009831782987316,0.0,-0.0002299259974937,-6.53748520992644e-05,0.0,-0.000125775071456,0.0,-0.0002290252887333,-0.0035723823491909,-0.0012158767222848,-0.0017148447556192
Galveston,hurricane,sector_model,MIGT_ HH3BI,0.142757942631146,0.0,-0.0009726535905591,0.0,-0.0014616657240782,-0.0018684047925896,-0.0032864855226673,0.0,-0.0008729318323405,-0.0005955807561909,0.0002599401336124,-0.0006800039843997,0.0,-0.0006014283401297,-0.0093557671142706,-0.0031435423882764,-0.004396771541494
Galveston,hurricane,sector_model,MIGT_ HH4BI,-3.44866895551605,0.0,-0.001582226574886,0.0,-0.0016134788028819,-0.003492788531945,-0.0062982021179775,0.0,-0.001468958724238,-0.0009502791194955,0.0002574761015786,-0.0013216641345663,0.0,-0.0003900458168363,-0.0266926451219065,-0.0086883189929176,-0.0121330930449117
Galveston,hurricane,sector_model,MIGT_ HH5BI,-0.543162355162389,0.0,0.0,0.0,-0.0013792804621674,-3.28846795592574e-05,-0.0013176575917287,0.0,-0.0001224898298351,0.0,0.0,0.0,0.0,0.0,-0.0200139558981396,-0.006608994276695,-0.009266422289584
Galveston,hurricane,sector_model,MIGT_ HH1HI,-0.205681525660858,0.0,-2.86626801242448e-06,0.0,-0.0001030763641665,0.0,-0.0005553607513134,0.0,-6.28834101700208e-05,0.0,0.0,0.0,0.0,0.0,-0.0010338786240712,-0.0003680905383968,-0.000530908696387
Galveston,hurricane,sector_model,MIGT_ HH2HI,-0.0021963143459065,0.0,-0.0001551126627689,0.000226911968532,-0.0008030957244142,-0.0010753859141381,-0.0022300175397014,0.0,-0.0004439173300295,-0.0001418831835527,0.0,-0.000412882883698,0.0,-0.0008391358213831,-0.0067749029117319,-0.002230677996852,-0.0031584267205978
Galveston,hurricane,sector_model,MIGT_ HH3HI,0.251059341105512,0.0,0.0,0.0016171554349668,-0.0020357474590093,-0.0031663545764527,-0.0051173353812141,0.0,-0.001181759928427,-0.0018417455820643,0.0002279144612006,-0.0007269342045103,0.0,-0.0017354095464126,-0.0123422375906801,-0.0041011365459166,-0.005750375159299
Galveston,hurricane,sector_model,MIGT_ HH4HI,-0.0128882673428592,0.0,-0.001850404649022,0.0058800303662404,-0.0052447487300149,-0.0088434540828053,-0.0093434657395163,0.0,-0.0023161666707801,-0.002649957096138,0.002773386117,-0.0015827966152736,0.0,-0.001519245275906,-0.0355691697209557,-0.0116493085133742,-0.0163619935115417
Galveston,hurricane,sector_model,MIGT_ HH5HI,0.0660202268395834,0.0,0.0,0.0005758204465404,-0.0004732656821247,0.0,-0.0009220350503623,0.0,-0.0001452211961094,-0.0001355131643139,0.0,0.0,0.0,0.0,-0.0089350552661323,-0.0029183811194232,-0.0041270450177413
