"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","AG_MIA","UTILA","CONSTA","MANUA","WHOLEA","RETAILA","TRANSA","INFOA","FINANCEA","REALEA","PRO_MANA","ADMINA","EDUA","HEALTHA","ARTA","ACCOA","OTHERA","AG_MIB","UTILB","CONSTB","MANUB","WHOLEB","RETAILB","TRANSB","INFOB","FINANCEB","REALEB","PRO_MANB","ADMINB","EDUB","HEALTHB","ARTB","ACCOB","OTHERB","HS1A","HS2A","HS3A","HS4A","HS1B","HS2B","HS3B","HS4B"
"Lumberton","flood/hurricane","main_model","totDY","1.89203180288119","0","0","0","0.00647330032455976","-6.48833965958049e-06","-0.0080217182614667","0","0","0","-0.000489882600487035","0.0026689938775698","0","0","-0.000999946693133056","0","0.00151009466336698","-0.000147242768359631","0.00304655042713807","0.000163926780061319","0.00556320531506195","0.0109635296690713","-0.0119317949845361","-0.0105151099309078","0.000431397377982697","0","-0.00258236848900072","-0.000520934700648213","0","0","0.00147022540845687","0","0","0","-0.00132359269465952","-0.0578919238505305","-0.0609373085682636","-0.0615124294400989","-0.0618477479320641","-0.050506622931988","-0.052129255273731","-0.0524199785193789","-0.0524933114696434"
"Lumberton","flood/hurricane","sector_model","DY _ HH1WA","-0.0395322432719132","0","0","0","0","0","-1.71801138733294e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.13839621353087e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","-4.31450190108387e-06","-8.63762213365158e-06","0","0","0","0"
"Lumberton","flood/hurricane","sector_model","DY _ HH2WA","-0.13556391582411","0","-1.24400949700962e-05","0","-0.000116069852628881","-0.000339926529228015","-0.000457590383117382","0","0","0","0","0","0","0","-0.00029403830570315","0","-1.58193519937306e-05","-3.8213111192812e-05","1.55704960155674e-05","0","0","0.000211679637865425","6.77065421556309e-05","0.000268790067698463","0","0","0","0","0","0","1.32512491077905e-06","0","0","2.27864716827285e-05","7.46534271564669e-06","-0.00100601211584051","-0.00113002815845602","-0.00115214768995119","-0.00118351565082952","0","1.0628695988667e-05","2.19744433628664e-05","3.1529937106716e-05"
"Lumberton","flood/hurricane","sector_model","DY _ HH3WA","0.0843678176051042","4.93626639233286e-05","-0.000920540717938681","0.000212762910656999","-0.00118593311930127","-0.00387219219423458","-0.00382586965002029","0","0","-0.00140268145727048","0","0","0","-0.000251350611006136","-0.00162585742283645","0","-0.000438460850390474","-0.000819019629040925","-3.79495183800854e-06","0.00059821845842176","0.00048273170368417","0.00173078496090338","0.00174245438678901","0.0017833997311999","6.04405750270486e-05","0","0.000171946181443914","-0.00020142711528305","-9.1830325285567e-05","5.75640833068568e-05","0.000474743003358129","0.00031488361636081","0.000105168711829108","9.32533437431932e-05","9.79388103380694e-05","-0.0099999817070333","-0.00986285853216818","-0.00990533345560725","-0.00994566430981319","5.38425156615831e-06","0.000223266336479384","0.000218752479637298","0.000230690532038995"
"Lumberton","flood/hurricane","sector_model","DY _ HH4WA","0.124404121969085","7.8399847185622e-05","-0.000630311850352378","0.000209180596968238","-0.00110586588312516","-0.00408340171335494","-0.00444699608220576","0","0","-0.0022562790524175","-5.23007213005538e-06","0","0","-0.000675776473601978","-0.00218615796493377","0","-0.00071970611394785","-0.000955129835931364","0","0.000912712381829641","0.000402738628463337","0.00227058457271062","0.0018386496908639","0.0017709376655618","3.9238782204458e-05","0","0.000153579579373414","0","0","0.000615575678185496","0.00047441658693073","0.000346457435588745","2.36154241585715e-05","0","9.0876655932665e-05","-0.0106837288999017","-0.0104727972297232","-0.0105248282238739","-0.010563154720756","0.000103558199321874","0.000334096919635306","0.00032655234983036","0.000338169921104744"
"Lumberton","flood/hurricane","sector_model","DY _ HH5WA","0.0530980094252991","0","-5.35820750995015e-05","0","-0.000273521162654733","-0.00159775996555644","-0.00188835572403358","0","0","-0.000288771803335413","0","0","-0.000108859196215385","-0.000754954350742785","-0.000711216691812401","0","-0.000315913805835876","-0.000391042105285727","0.000416849751274343","4.06782563275489e-05","0","0.00106481899552268","-0.000111437345805658","0.000221279473004606","0","0","0","0","0.000194160569726608","0.00111571490643156","2.31892267255347e-05","0","0","-3.24306398524707e-05","4.39550281356292e-06","0","6.62145007139935e-07","8.74259020462197e-06","4.45667084279953e-05","0.00014385387172401","0.000215251534685733","0.000239836812234846","0.000243136427775068"
"Lumberton","flood/hurricane","sector_model","DY _ HH1BA","-0.0576029463934367","0","0","0","0","0","-6.01496355243198e-05","0","0","0","0","0","0","0","0","0","-8.20025948637377e-06","0","2.72511200090039e-06","0","0","9.96812211115958e-06","4.45984516251278e-05","6.15186665452243e-05","0","0","0","0","0","0","0","0","0","2.48575470135675e-07","0","-5.66710282351124e-06","-0.000115106241111506","-0.000142834986988453","-0.000156358837404325","0","1.02862762565696e-06","9.60658659423488e-06","1.42024119674411e-05"
"Lumberton","flood/hurricane","sector_model","DY _ HH2BA","-0.10124970616582","0","0","0","-9.51011685822779e-05","-0.000641310780488584","-0.000377448672443388","0","0","0","0","0","0","0","-0.000238331529521182","0","-1.18456531702263e-06","0","0","8.59889146791217e-05","8.29673136703628e-05","0.000307847434036389","0","0.000339978346336887","0","0","0","0","0","0","6.09565761669369e-05","8.3545469940618e-06","0","3.21169352758315e-05","7.90801006588065e-06","-0.00194246522293747","-0.00207224989079727","-0.00208941217740743","-0.00212294719820761","0","7.82334089459124e-05","8.9213387491738e-05","0.000100246799801323"
"Lumberton","flood/hurricane","sector_model","DY _ HH3BA","0.045873584041788","0","0","0","-1.58415210815156e-05","-0.00151356248199815","-0.000768660150840513","0","0","0","0","0","0","0","-0.000186831311151113","0","-6.07613420992302e-05","-1.77953684684924e-05","-3.3157879539779e-05","0.000176152429900216","0.000100270544836766","0.00102361085995878","-1.88450177370613e-05","0.000727366375584695","0.000120601885377258","0","3.04739998545147e-05","0","0","0","0.000179529983552553","8.76719772543837e-05","7.07616223585226e-05","4.98028602475724e-05","3.72860779369438e-05","-0.00728909438740276","-0.00731937910726686","-0.00733540918453791","-0.00737279280711746","7.08968381902946e-05","0.000291381611065124","0.000293102814794181","0.000306423142130044"
"Lumberton","flood/hurricane","sector_model","DY _ HH4BA","-0.149963124065216","0","0","0","0","-0.000688490425068169","-0.000608440637566391","0","0","-0.000101314759460304","0","0","0","0","-0.000250740892813354","0","-5.56023042393208e-05","-3.63656535297614e-05","-4.89058592694268e-05","0","0","0.00053253706980801","0","0.000167478693124505","8.39042495886325e-05","0","0","0","0","0","0","2.84663990207912e-06","0","0","3.56628462223007e-06","-0.0023097647142143","-0.00241893189378354","-0.00243667287315068","-0.00247460716150548","0","0.000101797429332193","0.000108246895905463","0.000121545614619009"
