"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","AG_MIA","UTILA","CONSTA","MANUA","WHOLEA","RETAILA","TRANSA","INFOA","FINANCEA","REALEA","PRO_MANA","ADMINA","EDUA","HEALTHA","ARTA","ACCOA","OTHERA","AG_MIB","UTILB","CONSTB","MANUB","WHOLEB","RETAILB","TRANSB","INFOB","FINANCEB","REALEB","PRO_MANB","ADMINB","EDUB","HEALTHB","ARTB","ACCOB","OTHERB","HS1A","HS2A","HS3A","HS4A","HS1B","HS2B","HS3B","HS4B"
"Lumberton","flood/hurricane","main_model","totMIGT","39.3315961700963","-0.00700318983847775","-0.0096585310724299","0","0.00969853468971005","-0.0271453272950565","-0.0356532539067668","0","0.0367518674558918","0","-0.00837629690415773","0","0","0","-0.00913633377275502","0","0","-0.0112705562476025","0.00067168529541021","-0.0177075760628447","0.00788506132962773","0.00778120068638117","-0.0658728614662238","-0.0766842669724613","0","-0.020247453666335","-0.0239655875261191","0","0","0.0348791800056698","-0.00263996746215469","-0.00783835878361123","0","-0.00461471958351505","-0.0141877291200802","-0.387800895509732","-0.384062186782035","-0.386077241013927","-0.385961145617932","-0.239919288082633","-0.244128665389323","-0.245133323421221","-0.244716566577288"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH1WA","-0.217712274971807","0","-0.000690599731325593","0","-0.000558243038302988","-0.00169901199394971","-0.00188059717827953","0","0","-0.000273124013793118","0","0","0","-0.000446687883593987","-0.000936580708011839","0","-0.000305533761825018","-0.00049653980034183","0","0","0","5.29285338414108e-05","0","0.000151330351063868","0","0","0","0","0","0","0","0","0","1.40527486006676e-05","0","-0.00171635060138225","-0.00176752404401476","-0.00179981407187552","-0.00183330741522951","0","0","8.20125410353353e-06","2.11708890098784e-05"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH2WA","0.325561576743134","0","-0.0016881063961362","0","-0.00134378938044403","-0.00402983302158811","-0.00411536413789574","-1.22653788196812e-05","0","-0.00113051066033019","0","-0.000148113986498474","0","-0.000498380834563691","-0.0027493255629926","0","-0.000542885177825726","-0.00105418202210654","3.48248952719178e-05","0","0","0.000608830879218174","0.000472656319295167","0.000783682382392418","0","0","0","0","0","0.000254803109422025","9.6449844262367e-05","5.14131739481981e-05","0","0.000110835196597686","2.70609298037172e-05","-0.0112880036157813","-0.0109838756944948","-0.0110445466410578","-0.0110762340713352","0","0.000168841351699409","0.000154276651124646","0.000175482213323276"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH3WA","2.37215385870971","-7.75527486732367e-05","-0.00625799093035967","0.000850784537747235","-0.00535443939428798","-0.0182686230676854","-0.0182015362117343","-7.15048412774556e-05","0","-0.0064423402325171","-0.00137671028821977","-0.00105314055080025","-0.000683655135245246","-0.00196851848209658","-0.0075239657657632","-0.000766445912322338","-0.00250472566489397","-0.00486281810920546","-0.000361412559822527","0.00157683871426984","0.000811502366142707","0.00464715895581712","0.00507472897180171","0.00475018894371136","3.18766363341652e-05","-0.00337712026290057","0.000418417311199616","-0.000738571831780539","-0.000241802113768379","0.00369643908550732","0.00138527104311014","0.000886110264805473","0.000179687880607992","0.000335669967186992","0.000245218744689796","-0.0516993974532739","-0.0496889521335478","-0.0499562297092028","-0.0499205283864223","0.000763909765334978","0.00107994524345039","0.000967367780927418","0.00101285973400292"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH4WA","1.993597916915","-0.000220492607589606","-0.00402527624852307","0.000559986473380262","-0.00401824545272435","-0.0145454591535028","-0.0158657163352202","-0.0004202916970871","0.000402797095941205","-0.00730745589515579","-0.00162847001993708","-0.00124127118123233","-0.000297335892419601","-0.00304993597180012","-0.00747160815324273","-0.00150894402835644","-0.00309465385237218","-0.00423418747902501","-0.00012499713471831","0.00110418863507061","0","0.00294163143546035","0.00268890295637729","0.0021139128208727","0","-0.00239937203743018","3.0128302374956e-05","0","0","0.00310827259667781","0.000544412009763806","0.000407091137359568","0","0","5.7158453717837e-05","-0.0418071644247572","-0.0402080590627135","-0.040419106920772","-0.0404053562483976","0.000285502086168387","0.000576899838230702","0.000490559907691753","0.000528967504342438"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH5WA","-0.341399892608791","0","-0.000543418077255428","1.27631297319278e-05","-0.000753927866621659","-0.00287870864058461","-0.00345354233708269","-9.5986493570502e-05","0","-0.000806639644278388","0","-0.000146351243821976","0","-0.00142814182041726","-0.0014743985484564","-8.29715742048911e-05","-0.000687747879018828","-0.000809067177565082","0","0","0","2.70612638168112e-05","0","0","0","0","0","0","0","0","-1.84273246575395e-06","0","0","0","0","-0.00143061893942668","-0.00147467597140004","-0.00150793792690498","-0.00154259203937199","0","-1.05833295283014e-05","-3.93222167355088e-05","-4.0601683412166e-05"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH1BA","0.0744053625245133","-8.81226458999876e-05","-0.000970939201100477","0","-0.000652545959150272","-0.00150869831889519","-0.00239409323769735","-3.40752269808033e-05","0","-0.000224492801273847","-0.000114754238458648","-0.00020957457956288","0","-0.000563905236807484","-0.00110425382170585","0","-0.00054778066790028","-0.000656245178522003","8.84958138100845e-05","0","0","0.000137910352389064","0.000746399519313907","0.000491245667215713","0","0","0","0","0","0","5.19820777988657e-05","2.18022672170498e-05","0","8.60700867167683e-05","9.19654867591345e-06","-0.00690810605872535","-0.00678082036828165","-0.00683004861074787","-0.00686551058318858","0","0.000200680349183856","0.000194925087774866","0.00021356477533756"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH2BA","0.570419857109694","0","-0.00122773372471272","5.33093437105691e-07","-0.000937986732715099","-0.00426175097086081","-0.002974803247875","0","0","-0.000350671224839582","0","-5.4188487333077e-05","0","-0.000136547111678415","-0.00202915057324106","0","-0.000331672452904798","-0.000703977309134532","0","0.000395086396785959","0.000335874095334502","0.00102158673487972","0","0.00116988676906696","0","-0.000501365141588257","6.42888004449748e-05","0","0","0.000961088047443547","0.000373515135317642","0.00012354163492572","0.000176433264560101","0.000171405682164881","4.08044649344138e-05","-0.016886570773441","-0.0164502509776543","-0.0165087246138527","-0.0165267773837782","0.000237790772021014","0.000492902401769277","0.000467417687377924","0.000493357901060341"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH3BA","2.50525400245808","0","-0.00187255484481078","0","-0.000708205282393655","-0.00845148061452078","-0.00539411085508362","0.000342161771688191","0.00400060438910115","-0.000709524346765799","0","0","0","0","-0.00152783473664561","0","-0.000637885793239026","-0.00128829309818794","-0.000553669187705746","0.000721554718710485","0","0.00354549588941766","-0.000402486455067026","0.00248593807221572","0.000376458266230837","-0.00462503328603554","0.000118907146331413","0.000106636266983491","3.18761163748622e-05","0.00410989283399181","0.000816477279909291","0.000381345141742011","4.64553982991934e-05","0.000305210837798584","0.000131467966708925","-0.053356419446575","-0.051519927294729","-0.0517158010371027","-0.0516402797227645","0.00115067889117968","0.00153137628342498","0.00140620047422374","0.00146566701718738"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH4BA","0.497400984734177","0","-0.000710366961979774","0","-0.000472890193639692","-0.00322139264324128","-0.00317200623982843","0","0.000174203653448414","-0.00117515351694587","-0.000136699815096687","0","0","-0.000489052149671512","-0.00139240417507818","0","-0.000578163316457977","-0.000762723243570437","-0.000217377904288177","0","-7.42241193921199e-05","0.000823210145899102","-0.000149366356621518","0.000120489165008375","0.000129874325912285","-0.000270811501584512","0","0","0","9.29662449385357e-05","0","0","0","0","0","-0.0149067417752769","-0.014503242333243","-0.0145730081641668","-0.0145922593776074","0","0.000247022252803348","0.000219233900471541","0.000247747749036122"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH5BA","-0.192622756491903","0","0","0","-2.7067992509181e-06","-5.18354973645243e-05","-0.000156748088981964","0","0","0","0","0","0","-2.28791684129457e-05","-4.46808131786285e-05","0","-6.2694391179615e-06","-1.56618125751553e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-3.6709989235331e-05","-5.78416548060964e-05","-6.98121591089122e-05","0","0","0","0"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH1IA","0.124802324315896","0","-8.68874188679682e-05","0","0","-1.09484689926413e-06","-0.000171800013908191","0","0","0","0","-9.73483195687718e-05","0","0","-4.73778317525766e-05","0","-8.97167205045112e-05","-3.47212657300212e-05","-2.24016373283477e-06","0","0","0.000235271480961232","0.00147864020156018","0.00093534959074895","0","0","0","0","0","0.000232415250008507","0","0","0","0.000116032335644432","7.05021358536396e-06","-0.00733176480834529","-0.0072569560419508","-0.00728887730609695","-0.00732445998236523","0","0.000168424189057982","0.000154943231126034","0.000176558127553092"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH2IA","2.25291819513909","0.000186881230573635","0.000328637072281617","-6.20269166770355e-06","0.000752756516236865","0.00096853476535112","0.00267099544651883","0.000446203644809649","0.0101026926801774","0.00232524556851796","0","0","0","0.000814493633783203","0.00130003679003207","6.02361499821301e-05","0.000285524296001047","0.000704959809766413","0.000356708319951387","5.46947245249716e-05","0","0.0012100096464745","0.00144251022290206","0.00250885903558997","0","-0.004429650540595","0.000226497190841047","0","0","0.00354574552224753","0.00022669025097466","0.000448404308626449","0.000160027294768713","0.000446246028245866","0.000138321238431882","-0.0444902280858859","-0.0431980578805821","-0.0433234653602106","-0.0432572971005302","0.000194994113491223","0.000575032101684655","0.000461852393555669","0.000516436512470266"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH3IA","5.06593213483071","0.00045594503778582","0.00163912054094964","0","0.00234121142671865","0.00593156385258141","0.00605159976268936","0.00131268235381317","0.021095814131962","0.00223626807617104","0","0.00061886788568676","0","0.00225999022648689","0.00302421361310929","0","0.0024151168535379","0.00198375363366041","0.000549818305336966","0.00223400359020306","0.00124844361257092","0.00576112863686785","-0.00187444942385948","0.00441840683794823","0","-0.00938583950791931","0.000339994215142997","-0.000622030567098895","0.000160400321339632","0.007950607501463","0.00185768315253816","0.00101144876940563","0","0.000805801686231578","0.000303462256614225","-0.0919807268069752","-0.0892168981546594","-0.0896462168527394","-0.0894320545486282","0.000451519066159565","0.0012519701292723","0.00101701123957974","0.00113333717134041"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH4IA","3.99751421687602","0","0.000637050202414301","-0.000789955436218404","0.00187085757185196","0.00579574968000237","0.00346731916147626","0.000867716610251607","0.0172718352509266","0.000347955480574291","-0.00139240275454208","5.79925799922697e-05","0.000625390894077724","0.00123288565357661","0.0012201527890772","0.000385781837085219","0.00182389729230324","0.000987920535533018","-0.000127335930210603","0.00148373668229574","0","0.00273537571130473","-0.00165260085244333","0.000929796783921452","-8.82259719722309e-05","-0.00861342697435947","-0.000132325410976194","0","0.00084725432611587","0.00719404949592949","0.000865216604109335","0.000113097371750853","0","0.000369655953954158","3.53491625728797e-05","-0.0751542454854716","-0.0725145981992803","-0.0727770301725015","-0.0726007072323735","0.000159576964162479","0.000677156231070625","0.000463830801116184","0.000557433171661583"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH5IA","0.0876106155434494","0","-1.50931768397914e-06","0","-2.27592340166109e-05","-7.08978998439989e-05","-0.000547349080201535","0","0.000578663545819064","0","0","-9.03047169625622e-05","0","-0.000258997437738248","-0.000161726117776257","0","-4.95865228612892e-06","-8.71030176001783e-05","0","0","0","0","0","-0.000136798690575057","0","-3.74493490326216e-06","0","0","0","0","-3.08764778016261e-06","0","0","0","0","-0.00784498571517559","-0.007773682066238","-0.00779637554321122","-0.00782481358367787","0","0","0","0"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH1WB","-0.234060662462216","0","0","0","0.000144329400864368","1.37493532192533e-06","0.000136082082834675","0","0","0","0","0","0","0","1.59913191701415e-05","0","5.13093423679242e-05","0","0","-0.00063724789299555","0","-0.000417297417582722","-0.00133972503789669","-0.00168912000515919","0","0","-0.000206471168436225","0","0","0","-0.000293342278659776","-0.000224225968901292","0","-0.000118726799831733","-0.000288029396429587","2.43882870158799e-06","0.000174921233494063","0.000282444501212155","0.000289439089361205","-0.00111832347143465","-0.00123492188418529","-0.00124293843853371","-0.00124590438777304"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH2WB","0.280636702327198","-0.000189076944664977","0","0","0.000658708429221362","0.000788039778068364","0.000584698654069578","0","0","5.43988943524436e-05","-2.7284582002189e-05","0","0","1.18785413695166e-05","0.000361107807451527","0","0.000331369965988712","0","1.58400718536987e-05","-0.00169607068155217","0.000103029254580515","-0.00104453561863222","-0.00354322597384582","-0.0044318641766394","-2.8597738335673e-05","0","-0.000971225774077085","0","0","0","-0.000390967723847141","-0.000876917160396292","0","-0.000256397988777644","-0.000697056006343281","0.000723500341363206","0.000831382928444866","0.000960784554687878","0.000970372231823395","-0.00708946227705199","-0.00726904216512712","-0.00726192271638358","-0.00726451435235425"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH3WB","3.13308155028054","-0.00150029720281144","0.000555838664366723","-0.000359034272133054","0.00372145994819423","0.00540183094948607","0.00335136697106488","0","0.00222490350985777","0.00275153721686741","-0.0016032822585778","-0.000660247720786006","0.00356442257742932","0.000772619020776359","0.00275373822573196","0.000533936036232186","0.00159101050096127","0.00013450453755738","0.000645496189420874","-0.00469104023436715","0.00161294551030457","-0.00267018377918334","-0.0126497780915701","-0.0165403476537607","-0.000129046260453348","0","-0.00401180084985501","-0.000393301284556155","0","0.00075271277804508","-0.000901246581173178","-0.0016326971361843","-7.20851785335695e-05","-0.00108903810056931","-0.00263733021879186","0.00546568961825565","0.00482832966419323","0.00500675657058673","0.00498922661230951","-0.0409707168793817","-0.0415779511551537","-0.0414857844713545","-0.0414749803286886"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH4WB","2.6963721279548","-0.00128573764257825","0.000269525789530785","-8.66357681856364e-05","0.00285632750266156","0.0029574245950984","0.00217359805153015","0","1.02985661335605e-05","0.00138851064207421","-0.000686760548265368","-5.4243975970392e-05","0.00357436185359049","0.0002653252417321","0.00175241702817798","0","0.000615948899586563","0","0.000388851400621778","-0.00228063556270264","0.000991994891053048","-0.00174195405490306","-0.00951001384253723","-0.013642363316392","-0.000364523227566015","0","-0.00474824318933077","0","0","0.000510338933520475","-0.00173571039109177","-0.00168294143221342","-0.000540296912121315","-0.00145590230579638","-0.00211163880560276","0.00313391046082401","0.00270685048186211","0.00287562565537081","0.00286074046410201","-0.0343602754974969","-0.0348873255563348","-0.0348207480125966","-0.0348139943192544"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH5WB","-0.115979610228064","-2.39336108641859e-06","0","0","0.000331037487462489","0","9.37944022658896e-05","0","0","0","0","0","0","0","0","0","0","0","0","-0.000272591338357636","0","-0.000314431904400516","-0.00165861030176965","-0.00251040905908768","-8.6516594249455e-05","0","-0.000309586504595586","0","0","0","-0.000770503065404412","-0.000260196890833673","0","-0.000245583667353923","-0.000334206161998159","0","0.000143791651175906","0.000257988301155134","0.00026146003102349","-0.0023932347297577","-0.00251771473406537","-0.00252265502300598","-0.00252427463758781"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH1BB","0.19857344432094","-0.000190662907790707","0","0","0.0003787714566981","0.00188579057000679","0.000368965046277018","0","0","0","-0.0001187004849702","0","7.10853214966766e-05","0","0.00033210602822197","0","0","0","5.38534826970469e-07","-0.000766595392969115","2.8125714103524e-07","-0.000330318365649245","-0.00131887465176923","-0.00176373378647412","0","0","-0.000100842412552308","0","0","0","-0.000327428291718507","-0.000213298283211032","0","-9.05901743775436e-05","-0.000320648697466884","0.000675816158036548","0.000802833184651464","0.000929163245408111","0.000936230781945673","-0.00603196170241383","-0.00620499410541222","-0.00620069264089463","-0.00620644570979616"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH2BB","0.81233837053317","0","6.37027650231599e-05","0","0.000939086362303553","-0.00154931389016627","0.000837641627610443","0","-0.00048801292873863","0.000800797649210921","0.000169936859426871","0","0.000681103241311483","0.00012459548063808","0.000687013512282194","0","0.000353025211532051","0","0.000127239617416603","-0.00108749794291201","0.000363662280558523","-0.000383098247974299","-0.00238926752990674","-0.00284040924771396","0","0","-0.000524872282992555","0","0","0","-6.58218313503348e-05","-0.000594052914728114","0","-7.97938293515415e-05","-0.000445516903161448","0.00190645256686058","0.00179910086694436","0.0019526424948992","0.00194832402959","-0.0134724907298329","-0.0137678181430919","-0.0137427041393543","-0.0137478590105577"
"Lumberton","flood/hurricane","sector_model","MIGT _ HH3BB","4.02662114922789","-0.000546442489052466","0.000367873203826865","0","0.0036270715257141","-0.00520934352793901","0.00145521454993968","0.000118192489590951","-0.00100278004849015","0.00105904055802138","0","2.07533097609677e-05","0.00268921075266434","0","0.00155358558530485","0","0.000420033562093387","0","0.000257591926307088","-0.001069145825442","0.000891681322537178","0.000280091628436688","-0.00327336847433377","-0.00447090886023821","6.07660220907919e-05","0","-0.000849590888681498","0","0.000406177010358543","0.00126742785849975","2.59047473991741e-06","-6.04453956111763e-05","0","-0.000156466596263085","-0.000761325429805914","0.00552310182759647","0.00492494854692289","0.00527119834894873","0.00526065907893156","-0.0452786523802879","-0.046393406234975","-0.0463143809698192","-0.0463133860897613"
