"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","CONST","RETAIL","SERV","HEALTH","ACCOM","REST","AGRI","MANUF","UTIL","HS"
"Seaside","earthquake/tsunami","main_model","totDY","-1565.39648528723","-0.0768864310657651","-0.0160870277959642","-0.00108392671563973","-0.086404195465547","-0.0715536586236322","0.0894061478659915","0","0.0027697133681729","-0.219628327563359","-0.0639637047342519"
"Seaside","earthquake/tsunami","sector_model","DY _ HH1","-3.15879152201791","-0.000247152256522572","0.000114512366929528","-1.58307271493705e-05","-0.000273759492558189","-0.00023899419276278","0.00247540330737051","-4.8206685776525e-05","-0.000108031329242401","-0.000344309296935511","-0.000217342971033861"
"Seaside","earthquake/tsunami","sector_model","DY _ HH2","-17.0737898279817","-0.00349012037529926","0.00207227175664669","-0.000432367535984072","-0.00375203415084497","-0.00257010957105612","0.016452305287056","-0.000361919558089703","-0.00077235981465512","-0.00419906253712492","-0.00598127855187611"
"Seaside","earthquake/tsunami","sector_model","DY _ HH3","-327.522575029292","-0.0207861697099664","0.000209990898981682","-0.000491760153955045","-0.0211544082115085","-0.0179002648790134","0.0381968523760505","0","0","-0.0646880970457146","-0.0206701905161976"
"Seaside","earthquake/tsunami","sector_model","DY _ HH4","-273.801280485908","-0.0135233126342396","-0.00198594763883628","0.000170931840036658","-0.0133174541785261","-0.0117124395300933","0.0140174460131127","0","0.00165477778193901","-0.0370426887923629","-0.0136964384994286"
"Seaside","earthquake/tsunami","sector_model","DY _ HH5","-935.317107641074","-0.0379617061179487","-0.0168683670227875","-0.000346272254490952","-0.0477236014457022","-0.039111071422859","0.0181347835102625","0","0.00215622357976363","-0.11110596721861","-0.0234216099803551"
