"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","CONST","RETAIL","SERV","HEALTH","ACCOM","REST","AGRI","MANUF","UTIL","HS"
"Seaside","earthquake/tsunami","main_model","totMIGT","-2.77207738274049","-0.000113611085972951","-1.14465114315086e-05","-4.44172667568219e-06","-0.000147664153223529","-0.000125238220323654","0.00030215143318905","0","0","-0.000303041805304105","-0.000408093827635262"
"Seaside","earthquake/tsunami","sector_model","MIGT _ HH1","0.229441834634295","0","-4.98824871596604e-07","-2.43390991993853e-07","-6.81885649912781e-07","-7.91717169668814e-07","4.75911558225054e-06","-9.80407831544053e-06","-1.24309030699561e-06","0","-2.96935280030501e-05"
"Seaside","earthquake/tsunami","sector_model","MIGT _ HH2","0.559937622538917","-1.1981820958668e-05","2.92474254273708e-06","2.3965949219616e-07","-1.15990783634651e-05","-8.83967344714856e-06","3.76633514647777e-05","-5.65327221381561e-05","-3.34618381402675e-06","-3.22556408435139e-05","-9.08388492732408e-05"
"Seaside","earthquake/tsunami","sector_model","MIGT _ HH3","-0.0312524023326768","-3.88356253019364e-05","-3.76548725043531e-07","-8.94611040699103e-07","-4.21516352768919e-05","-3.38786841078331e-05","8.93623974747964e-05","-7.2025117046141e-05","-3.05792377649836e-06","-0.000109624672611736","-0.000139851746502483"
"Seaside","earthquake/tsunami","sector_model","MIGT _ HH4","-0.736416576916159","-2.38542980326921e-05","0","-4.61630901986116e-08","-2.4031284266654e-05","-2.01340144171364e-05","5.08452546522935e-05","0","0","-5.61465071182859e-05","-6.43561061480338e-05"
"Seaside","earthquake/tsunami","sector_model","MIGT _ HH5","-2.84205935025922","-6.42287077068864e-05","-1.69305221358011e-05","-4.78389240670986e-06","-7.3325705322799e-05","-6.20077987672302e-05","0.00011982169476951","0","0","-0.000157512319011256","-8.02396062902587e-05"
